,K,Proportion,Error
378,0.037037037037037035,0.8,31.279081885856083
379,0.037037037037037035,0.9,32.39868932038834
380,0.03803803803803804,0.0,30.555749097472926
381,0.03803803803803804,0.1,29.909778002018164
382,0.03803803803803804,0.2,28.997225609756097
383,0.03803803803803804,0.3,28.140028222013168
384,0.03803803803803804,0.4,28.177923387096776
385,0.03803803803803804,0.5,28.41763779527559
386,0.03803803803803804,0.6,29.07599315068493
387,0.03803803803803804,0.7,29.67866084425036
388,0.03803803803803804,0.8,31.219330024813896
389,0.03803803803803804,0.9,32.32538834951457
390,0.03903903903903904,0.0,30.51899819494585
391,0.03903903903903904,0.1,29.869051463168518
392,0.03903903903903904,0.2,28.95290650406504
393,0.03903903903903904,0.3,28.100536218250237
394,0.03903903903903904,0.4,28.14192540322581
395,0.03903903903903904,0.5,28.37744094488189
396,0.03903903903903904,0.6,29.03221461187215
397,0.03903903903903904,0.7,29.63497816593887
398,0.03903903903903904,0.8,31.160099255583127
399,0.03903903903903904,0.9,32.25242718446602
400,0.04004004004004004,0.0,30.4829963898917
401,0.04004004004004004,0.1,29.829001009081733
402,0.04004004004004004,0.2,28.909796747967476
403,0.04004004004004004,0.3,28.06228598306679
404,0.04004004004004004,0.4,28.107177419354837
405,0.04004004004004004,0.5,28.338316929133853
406,0.04004004004004004,0.6,28.989851598173516
407,0.04004004004004004,0.7,29.592430858806406
408,0.04004004004004004,0.8,31.102282878411913
409,0.04004004004004004,0.9,32.18131067961165
410,0.04104104104104104,0.0,30.447888086642596
411,0.04104104104104104,0.1,29.79018163471241
412,0.04104104104104104,0.2,28.867672764227642
413,0.04104104104104104,0.3,28.02492003762935
414,0.04104104104104104,0.4,28.07314516129032
415,0.04104104104104104,0.5,28.29992125984252
416,0.04104104104104104,0.6,28.94807077625571
417,0.04104104104104104,0.7,29.550713245997088
418,0.04104104104104104,0.8,31.04501240694789
419,0.04104104104104104,0.9,32.11135922330097
420,0.04204204204204204,0.0,30.414079422382667
421,0.04204204204204204,0.1,29.752855701311805
422,0.04204204204204204,0.2,28.827327235772355
423,0.04204204204204204,0.3,27.98920978363123
424,0.04204204204204204,0.4,28.040493951612905
425,0.04204204204204204,0.5,28.262795275590552
426,0.04204204204204204,0.6,28.907020547945205
427,0.04204204204204204,0.7,29.509577874818053
428,0.04204204204204204,0.8,30.988684863523574
429,0.04204204204204204,0.9,32.042038834951455
430,0.043043043043043044,0.0,30.381994584837546
431,0.043043043043043044,0.1,29.7173965691221
432,0.043043043043043044,0.2,28.788882113821142
433,0.043043043043043044,0.3,27.955089369708375
434,0.043043043043043044,0.4,28.00909274193548
435,0.043043043043043044,0.5,28.226791338582675
436,0.043043043043043044,0.6,28.86696347031964
437,0.043043043043043044,0.7,29.469315866084422
438,0.043043043043043044,0.8,30.933647642679897
439,0.043043043043043044,0.9,31.97509708737864
440,0.044044044044044044,0.0,30.350469314079422
441,0.044044044044044044,0.1,29.682341069626638
442,0.044044044044044044,0.2,28.750924796747967
443,0.044044044044044044,0.3,27.921505174035747
444,0.044044044044044044,0.4,27.978820564516127
445,0.044044044044044044,0.5,28.192194881889765
446,0.044044044044044044,0.6,28.828538812785386
447,0.044044044044044044,0.7,29.431149927219796
448,0.044044044044044044,0.8,30.88141439205955
449,0.044044044044044044,0.9,31.91014563106796
450,0.04504504504504504,0.0,30.31962996389892
451,0.04504504504504504,0.1,29.648203834510593
452,0.04504504504504504,0.2,28.713485772357725
453,0.04504504504504504,0.3,27.888193791157104
454,0.04504504504504504,0.4,27.948860887096775
455,0.04504504504504504,0.5,28.15807086614173
456,0.04504504504504504,0.6,28.790696347031965
457,0.04504504504504504,0.7,29.39359534206696
458,0.04504504504504504,0.8,30.830272952853594
459,0.04504504504504504,0.9,31.846116504854376
460,0.04604604604604605,0.0,30.290081227436826
461,0.04604604604604605,0.1,29.615388496468213
462,0.04604604604604605,0.2,28.676961382113824
463,0.04604604604604605,0.3,27.85576669802446
464,0.04604604604604605,0.4,27.919465725806454
465,0.04604604604604605,0.5,28.12455708661417
466,0.04604604604604605,0.6,28.7537100456621
467,0.04604604604604605,0.7,29.357001455604077
468,0.04604604604604605,0.8,30.780223325062035
469,0.04604604604604605,0.9,31.783203883495148
470,0.04704704704704705,0.0,30.261281588447652
471,0.04704704704704705,0.1,29.583531786074676
472,0.04704704704704705,0.2,28.641199186991873
473,0.04704704704704705,0.3,27.823885230479775
474,0.04704704704704705,0.4,27.890372983870968
475,0.04704704704704705,0.5,28.091122047244095
476,0.04704704704704705,0.6,28.716643835616438
477,0.04704704704704705,0.7,29.320320232896655
478,0.04704704704704705,0.8,30.730347394540946
479,0.04704704704704705,0.9,31.721116504854365
480,0.04804804804804805,0.0,30.233014440433212
481,0.04804804804804805,0.1,29.552028254288597
482,0.04804804804804805,0.2,28.605802845528455
483,0.04804804804804805,0.3,27.792370649106303
484,0.04804804804804805,0.4,27.861955645161288
485,0.04804804804804805,0.5,28.05842519685039
486,0.04804804804804805,0.6,28.680616438356164
487,0.04804804804804805,0.7,29.284657933042215
488,0.04804804804804805,0.8,30.681836228287843
489,0.04804804804804805,0.9,31.660097087378638
490,0.04904904904904905,0.0,30.205324909747294
491,0.04904904904904905,0.1,29.521331987891017
492,0.04904904904904905,0.2,28.571209349593495
493,0.04904904904904905,0.3,27.761608654750706
494,0.04904904904904905,0.4,27.83390120967742
495,0.04904904904904905,0.5,28.026131889763782
496,0.04904904904904905,0.6,28.644851598173517
497,0.04904904904904905,0.7,29.249490538573504
498,0.04904904904904905,0.8,30.633771712158808
499,0.04904904904904905,0.9,31.599854368932036
500,0.050050050050050046,0.0,30.177996389891696
